Brand, Price, OperatingSystem, Description 
Huawei,499,<li><strong>Operating System:</strong> Android</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875606147" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Huawei Mate 10 Pro Unlocked Smartphone with Dual Camera (6" Mocha Brown| 128GB Storage 6GB RAM) US Warranty</a>
Honor,199,<li><strong>Operating System:</strong> Android 7.0 Nougat</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875646012" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Honor 7X Unlocked Smartphone with Dual Camera (5.93" Red| 32GB Storage 3GB RAM) US Warranty</a>
Motorola,249,<li><strong>Operating System:</strong> Android 8.0 Oreo</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875209580" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Motorola Moto G6 4G LTE Unlocked Cell Phone US Version (5.7" Black| 32GB 3GB RAM)</a>
Motorola,199,<li><strong>Part Number:</strong> PAA30001US</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875209579" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Motorola Moto G6 Play 4G LTE Unlocked Cell Phone US Version (5.7" Deep Indigo|  32GB 3GB RAM)</a>
Huawei,549,<li><strong>Operating System:</strong> Android</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=23B-001M-00228" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Huawei Mate 10 Pro Unlocked Smartphone with Dual Camera (6" Midnight Blue| 128GB Storage 6GB RAM) US Warranty</a>
SAMSUNG,615,<li><strong>Operating System:</strong> Android 8.0 Oreo</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAGRE7EK7532" title="View Details">Samsung Galaxy S9 G9600 64GB Single SIM Unlocked GSM 4G LTE Phone w/ 12 MP Camera - Titanium Gray (International Version)</a>
Nokia,164,<li><strong>Operating System:</strong> Android Nougat</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875205559" title="View Details">Nokia 6 TA-1025 Unlocked Smartphone with Dual Camera (5.5" Black| 32GB Storage 3GB RAM) US Warranty</a>
Huawei,1059,<li><strong>Operating System:</strong> Android 8.0 Oreo</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAEJW76C0469" title="View Details">Huawei P20 Pro 128GB Dual-SIM Factory Unlocked 4G/LTE Smartphone (Midnight Blue)</a>
SAMSUNG,664,<li><strong>Operating System:</strong> Android 8.0 Oreo</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875169603" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Samsung Galaxy S9 4G LTE Dual SIM Unlocked Cell Phone International Version (5.8" Black| 64GB 4GB RAM)</a>
Apple,359,<li><strong>Operating System:</strong> iOS</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAFFH7VX2195" title="View Details">Apple iPhone 6s 16GB Factory GSM Unlocked - Space Gray</a>
Apple,699,<li><strong>Operating System:</strong> iOS 10</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875100589" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Apple iPhone 7 128GB Jet Black Unlocked Smartphone</a>
Apple,249,<li><strong>Operating System:</strong> iOS</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAFFH7WT8634" title="View Details">Apple iPhone SE A1662 64GB GSM Unlocked Smartphone</a>
Apple,689,<li><strong>Operating System:</strong> iOS</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAFFH7W41446" title="View Details">Apple iPhone 8 64gb Unlocked</a>
Apple,1500,<li><strong>Operating System:</strong> iOS 12</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAFFH8863649" title="View Details">Apple iPhone XS Max Unlocked - 64GB Gold</a>
SAMSUNG,615,<li><strong>Operating System:</strong> Android 8.0 Oreo</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAGRE82T6872" title="View Details">Samsung Galaxy S9 SM-G9600 Dual Sim 5.8"| Super AMOLED| 64GB |4 GB RAM Factory Unlocked - Gold (International Version) GSM Only</a>
ASUS,499,<li><strong>Operating System:</strong> Android 8.0 Oreo</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875220078" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Asus Zenfone 5Z ZS620KL 4G LTE Unlocked Cell Phone 6.2" Blue 64GB 6GB RAM</a>
Sony Mobile,94,<li><strong>Operating System:</strong> Android 6.0 Marshmallow</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=9SIAAM84SB0313" title="View Details">Sony Xperia XA 5" Unlocked Smartphone - 16GB - US Warranty (Graphite Black)</a>
Apple,429,<li><strong>Operating System:</strong> iOS 9</li>,<a class="item-title" href="https://www.newegg.com/Product/Product.aspx?Item=N82E16875100360" title="View Details"><i class="icon-premier icon-premier-xsm"></i>Apple iPhone 6s 128GB 4G LTE Unlocked Cell Phone with 2GB RAM (Gold)</a>
